"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2012,,,Last Updated,,,,,,,,,
,,,2/4/2014,,,,,,,,,
OFFICIAL,"DATE OF 
PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC 
PURPOSE","NOTICE 
RECEIVED","YTD AMOUNT 
BY MEMBER"
"Anderson, Joel",9/21/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Chaparral High School,El Cajon,CA,Education grant to purchase 10 ipads and supporting software to upgrade the school's technological laboratory,Charitable,9/26/12,
,,,,,,,,,,,,"5,000"
"Berryhill, Tom",3/30/12,"Barona Band of Mission Indians, Barona Education Grant",Lakeside,CA,"5,000",Cardoza Middle School,Riverbank,CA,To assist in the purchase of approximately 300 new books for their library,Charitable,4/11/12,
,,,,,,,,,,,,"5,000"
"Blakeslee, Sam",4/27/12,"Charles Munger, Jr.",San Rafael,CA,"750,000",California Reform Institute,Sacramento,CA,501(c)(4) policy reform think tank,Charitable,5/9/12,
,,,,,,,,,,,,"750,000"
"Calderon, Ronald",9/24/12,California Latino Caucus Foundation,Sacramento,CA,"5,000",NCGA Foundation,Pebble Beach,CA,Contribution to a Nonprofit Public Charitable Corporation,Charitable,1/23/14,
,,,,,,,,,,,,"5,000"
"De Leon, Kevin",12/12/11,Paul Hastings LLP,Washington,DC,"35,489",Partners and employees of Paul Hastings LLP,Washington,DC,"Defend constitutionality of Sec. 354.4, Code of Civil Procedure, regarding the rights of Armenian genocide victims to pursue insurance claims in California courts.",Governmental,1/10/12,
,10/19/12,Barona Band of Mission Indians,Lakeside,CA,"5,000","Soledad Enrichment Action, Inc. Charter School",Los Angeles,CA,Barona Education Grant,Charitable,11/26/12,
,,,,,,,,,,,,"40,489"
"DeSauiner, Mark",5/11/12,"Bartko, Zaniel, Taprant & Miller",San Francisco,CA,"7,500",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,6/11/12,
,5/29/12,"Hemming Morse, Inc",San Francisco,CA,"7,500",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,6/11/12,
,4/17/12,Munger Tolles & Olson LLP,San Francisco,CA,"7,500",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,7/6/12,
,5/15/12,Pillsbury Winthrop Shaww Pittman LLP,San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,7/6/12,
,5/25/12,O'Melveny & Myers LLP,San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,7/6/12,
,5/30/12,Robbins Geulr Ruoman & Domo LLP,San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,7/6/12,
,6/13/12,Bingham MlCutchen LLP,San Francisco,CA,"10,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,7/6/12,
,11/21/12,O'Melveny & Myers LLP,San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,12/11/12,
,11/21/12,"Gibson, Dunn & Crutcher LLP",San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,12/11/12,
,12/31/12,Simpson Thacher & Barlett LLP,Palo Alto,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,1/30/13,
,12/18/12,Morrison & Foeser LLP,San Francisco,CA,"8,500",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,1/30/13,
,12/31/12,William Audet,San Francisco,CA,"5,000",Legal Community Against Violence,San Francisco,CA,Non-profit fundraiser for Legal Community Against Violence,Charitable,1/30/13,
,,,,,,,,,,,,"76,000"
"Dutton, Bob",8/17/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Wilson Elementary School,San Bernardino,CA,Grant being awarded to Wilson Elementary School,Charitable,8/21/12,
,8/17/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Wilson Elementary School,San Bernardino,CA,,Charitable,9/4/12,
,,,,,,,,,,,,"10,000"
"Emmerson, William",2/15/12,United Parcel Service,Roswell,GA,"5,000",Ramona Bowl,Hemet,CA,Sponsorship of California's Official Outdoor Play,Charitable,2/27/12,
,,,,,,,,,,,,"5,000"
"Evans, Noreen",8/16/12,Restoring America,Sacramento,CA,"5,000",Women in California Leadership,Sacramento,CA,Charitable Fundraiser Event,Charitable,9/30/12,
,8/16/12,Restoring America,Sacramento,CA,"5,000",Women in California Leadership,Sacramento,CA,Charitable Fundraiser Event,Charitable,10/22/12,
,,,,,,,,,,,,"10,000"
"Hernandez, Edward",7/30/12,Barona Band of Mission Indians,Lakeside ,CA,"5,000","Soledad Enrichment Action, Inc. Charter School",Los Angeles,CA,"Three ELMO document cameras, two laptops for teaching",Charitable,8/28/12,
,,,,,,,,,,,,"5,000"
"Huff, Bob",8/30/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Washington Middle School,La Habra,CA,LEGO robotics Systems and Equipment for Science Project,Charitable,9/20/12,
,,,,,,,,,,,,"5,000"
"Kehoe, Christine",1/5/12,AT&T,Sacramento,CA,"5,000",Gompers Charter School,San Diego,CA,Monetary donation to a local school to support continued excellence in education,Charitable,1/17/12,
,1/5/12,AT&T,Sacramento,CA,"5,000","The Center for Excellence in School Counseling and Leadership, San Diego State University ",San Diego,CA,"Help underwrite 3rd Annual National Educator Conf. focused on LGBTQIA (Lesbian, Gay, Bisexual, Transgender, Questioning, Intersex & Asexual) Youth",Charitable,1/17/12,
,7/30/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",High Tech Middle Media Arts,San Diego,CA,Donation for educational purposes,Charitable,9/20/12,
,,,,,,,,,,,,"15,000"
"Lara, Ricardo",11/28/12,Walmart Los Angeles,Los Angeles,CA,"5,000",Southeast Community Development Corporation,Bell Gardens,CA,Sponsorship of 19th Annual Southeast College Conference,Charitable,1/15/14,
,,,,,,,,,,,,"5,000"
"Lieu, Ted",4/11/12,"Barona Band of Mission Indians, Barona Education Grant",Lakeside,CA,"5,000",Port of Los Angeles High School,San Pedro,CA,Support for their Classroom Technology Grant Proposal,Charitable,5/14/12,
,,,,,,,,,,,,"5,000"
"Liu, Carol",7/30/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Columbus Elementary School,Glendale,CA,Books for Libraries.,Charitable,10/29/12,
,,,,,,,,,,,,"5,000"
"McLeod -Negrete, Gloria",10/17/12,Barona Band of Mission Indians,Lakeside,CA,"5,000","Soledad Enrichment Action, Inc. Charter School",Pomona,CA,Letter of support for academic programs,Charitable,10/23/12,
,,,,,,,,,,,,"5,000"
"Padilla, Alex ",6/19/12,Verizon,Sacramento,CA,"5,000",Youth Policy Institute,Los Angeles,CA,Sponsorship of annual gala,Charitable,7/2/12,
,8/20/12,"L.A. Arena Company, Inc.",Los Angeles,CA,"7,500",National Association of Latino Elected and Appointed Offices Educational Fund,Los Angeles,CA,,Charitable,11/1/12,
,,,,,,,,,,,,"12,500"
"Rubio, Michael",4/25/12,Barona Band of Mission Indians,Lakeside,CA,"5,000","El Monte Middle School, Principal Antonio Rivera",Orosi,CA,Barona Education Grant Program,Charitable,5/24/12,
,11/29/12,Pacific Gas& Electric,Sacramento,CA,"5,000",Down Syndrome Information Alliance,Roseville,CA,The contribution will be used for Medical Outreach,Charitable,12/10/12,
,,,,,,,,,,,,
,,,,,,,,,,,,"10,000"
"Simitian, Joseph",12/12/11,Paul Hastings LLP,Washington,DC,"35,489",Partners and Employees of Paul Hastings LLP,Washington,DC,"Defend constitutionality of Sec. 354.4, Code of Civil Procedure, regarding the rights of Armenian genocide victims to pursue insurance claims in California courts.",Governmental,1/10/12,
,,,,,,,,,,,,"35,489"
"Steinberg, Darrell",4/23/12,Sisters of the Religious of the Sacred Heart of Mary,Montebello,CA,"10,000",The Coalition to Abolish Slavery & Trafficking (CAST),Los Angeles,CA,"May 17, 12 fundraiser to support the organization's efforts to promote public awareness and eliminate slavery and human trafficking",Charitable,5/7/12,
,4/23/12,Sisters of St. Joseph of Carondelet,Los Angeles,CA,"10,000",The Coalition to Abolish Slavery & Trafficking (CAST),Los Angeles,CA,"May 17, 12 fundraiser to support he organization's effortsto promote pulic awareness and eliminate slavery and human trafficking",Charitable,5/7/12,
,4/23/12,"Akin, Gump, Strauss, Hauer & Feld LLP",Los Angeles,CA,"5,000",The Coalition to Abolish Slavery & Trafficking (CAST),Los Angeles,CA,"May 17, 12 fundraiser to support he organization's effortsto promote pulic awareness and eliminate slavery and human trafficking",Charitable,5/7/12,
,4/23/12,Dykema Law Firm,Los Angeles,CA,"5,000",The Coalition to Abolish Slavery & Trafficking (CAST),Los Angeles,CA,"May 17, 2012 fundraiser to support he organization's effortsto promote pulic awareness and eliminate slavery and human trafficking",Charitable,5/7/12,
,7/26/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Rosa Parks Middle School,Sacramento,CA,Donation toward public school purchase of Exemplar Textbooks to strenghten achievement in history and language arts.,Charitable,9/20/12,
,11/26/12,"California Water Association, Exec. Dir. Jacks Hawks",San Francisco,CA,"6,435",Needy families in the community,Sacramento,CA,Charitable contribution to cover cost of turkeys given away to needy families for Thanksgiving,Charitable,1/8/13,
,11/29/12,Verizon,Folsom,CA,"15,000",Roberts Family Development Center,Sacramento,CA,Charitable contribution for Summer Empowerment Program,Charitable,1/8/13,
,,,, ,,,,,,,,"56,435"
"Vargas, Juan",9/5/12,Barona Band of Mission Indians,Lakeside,CA,"5,000",Democratic Congressional Campaign,Washington,DC,The contribution was requsted to support the fundraising efforts of the DCCC to elect Democratic Members of Congress in 12,Governmental,9/28/12,
