"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
ASSEMBLY 2013,,,,,,Last Updated: 03/27/2014,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC PURPOSE","NOTICE RECEIVED","YTD AMOUNT BY MEMBER"
"Achadjian, Katcho",01/07/13,Woods-Claeyson Foundation,Santa Barbara,CA,"20,000",Fort Hope,Arroyo Grande,CA,The Foundation awarded Fort Hope a grant to assist with ongoing programs and to help the Fort Hope  continue providing free and low cost programs to local youths.,Charitable,2/4/13,
,02/08/13,Aerovironment,Monrovia,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,IAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,02/19/13,"Alcoa, Inc",Torrance,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,02/22/13,Global Energy & Technology,Ventura,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,3/19/13,
,03/18/13,Kirk Clark - California Business Roundtable,Sacramento,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,UAV Symposium Sponsorship,Legislative,4/23/13,
,03/18/13,Jeff Gorell for Assembly 2012,Santa Margarita,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,UAV Symposium Sponsorship,Legislative,4/23/13,
,07/26/13,Barona Education Grant Program,Lakeside,CA,"5,000",St. Patrick's Catholic school,Arroyo Grande,CA,Grant to help school purchase materials to meet Common Core State Standards,Charitable,8/20/13,
,09/11/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",St. Patrick's Catholic school,Arroyo Grande,CA,Grant will be used to help the school update its instructional materials,Charitable,11/14/13,
,,,,,,,,,,,,"60,000"
"Alejo, Luis",08/15/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Watsonville High School,Watsonville,CA,To purchase computer equipment for students,Charitable,8/23/13,
,,,,,,,,,,,,"5,000"
"Atkins, Toni",02/08/13,Kaiser Permanente,Pasadena,CA,"10,000",Gay & Lesbian Leadership Institute,Washington,DC,Conference  Sponsor,Charitable,2/28/13,
,08/05/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Cabrillo Elementary School,San Diego,CA,"To assist in the purchase 10 common core lesson books for K-5, 16 ELD supplemental materials, 8 sets of readibility  tests, 10 sets of reading books, 40 mentor text",Charitable,8/20/13,
,,,,,,,,,,,,"15,000"
"Bloom, Richard",06/25/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Hollywood High School,Los Angeles,CA,"The Barona Band of Mission Indians awards a $5,000 grant each yr in legislative districts to assist in  the purchase of 227 books for libraries",Charitable,8/20/13,
,,,,,,,,,,,,"5,000"
"Bonilla, Susan",08/03/13,VSP Vision Care,Rancho Cordova,CA,"50,000",California Storm of Sacramento,Sacramento,CA,Gift Certificates for comprehensive eye examinations for participants of the Taking the World by Storm Soccer Clinic,Charitable,12/18/13,
,,,,,,,,,,,,"50,000"
"Bonta, Rob",08/02/13,"Cubic Transportation Systems, Inc.",San Diego,CA,"5,000",Oakland Alliance of Community Partnerships,Oakland,CA,Back pack give away,Charitable,9/4/13,
,08/02/13,"Cubic Transportation Systems, Inc.",San Diego,CA,"5,000",Oakland Alliance of Community Partnerships,Oakland,CA,Back pack give away,Charitable,9/4/13,
,08/16/13,Purple Heart Patient Center,Oakland,CA,"10,000",Oakland Alliance of Community Partnerships,Oakland,CA,Back pack give away,Charitable,9/4/13,
,07/24/13,VSP Vision Care,Rancho Cordova,CA,"145,145",Center of Hope Church,Oakland,CA,Comprehensive eye health care services at daylong community service event with community service organization,Charitable,10/25/13,
,09/03/13,Ramsell Corporation,Oakland,CA,"10,000",Peralta Colleges Foundation,Oakland,CA,"In District Health Fair offering free health services (blood pressure, cholesterol, diabetes, HIV/AIDs, hearing & dental screenings, ACA info)",Legislative,12/10/13,
,09/14/13,NID Housing Counseling Agency,Emeryville,CA,"21,950",City of Oakland,Oakland,CA,Co-Hosted vent with HUD to educate the public about housing financing,Charitable,2/26/14,
,10/05/13,FPA-East Bay,Walnut Creek,CA,"32,550",City of Oakland,Oakland,CA,"Retirement, financial and savings information and education for constituents",Charitable,12/18/13,
,11/13/13,Wells Fargo,Oakland,CA,"5,000",Oakland Alliance of Community Partnerships,Oakland,CA,Back to School Rally by the Oakland Alliance of Community Partnerships,Charitable,12/18/13,
,11/29/13,Tony Oleas,Poway,CA,"7,498",Gawad Kalinga USA,Poway,CA,Relief aid to Typhoon Haiyan/Yolanda victims in the Philippines',Charitable,1/3/14,
,11/29/13,PNDA (Philippine National Day Association),Elk Grove,CA,"5,000",Gawad Kalinga USA,Poway,CA,Relief aid to Typhoon Haiyan/Yolanda victims in the Philippines',Charitable,1/3/14,
