"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2011,,,Last Updated,,,,,,,,,
,,,1/4/2012,,,,,,,,,
OFFICIAL,"DATE OF 
PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC 
PURPOSE","NOTICE 
RECEIVED","YTD AMOUNT 
BY MEMBER"
"Aanestad, Sam",11/01-11/30/10,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"36,444",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,1/5/11,
,,,,,,,,,,,,"36,444"
"Anderson, Joel",12/1-12/31/10,Akin Gump Strauss Hauer & Feld LLp,San Francisco,CA,"4,361",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,3/11/11,
,1/1-1/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,323,Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,3/11/11,
,3/18/11,Barona Band of Mission Indians,Lakeside,CA,"5,000","University of San Diego/Grossmont Union High School District, Roni Nocon, Project Specialist",San Diego,CA,Donation to fund the purchase of material for career centers in the Grossmont School District.,Charitable,3/22/11,
,2/1-2/28/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"2,020",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,4/19/11,
,3/1-3/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"4,400",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,4/28/11,
,4/1-4/30/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"1,650",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,5/25/11,
,7/13/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",Rio Seco Elementary School,Santee,CA,Donation fo fund the purchase of materials to facilitate the teaching of literacy.,Charitable,8/18/11,
,,,,,,,,,,,,"22,754"
"Berryhill, Tom",12/7/10,Barona Band of Mission Indians,Lakeside,CA,"5,000",Twain - Harte - Long Barn Union School District,Twain Harte,CA,Providing reading programs for students.,Charitable,1/12/11,
,2/1-2/28/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"2,020",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,4/4/11,
,3/18/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",Mesa Verde Elementary School,Oakdale,CA,Funds to support one-time classroom expenses.,Charitable,4/7/11,
,4/1-4/30/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"1,650",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,6/6/11,
,,,, ,,,,,,,,"13,670"
"Blakeslee, Sam",11/01-11/30/10,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"36,444",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation  in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,1/4/11,
,,,,,,,,,,,,
,1/1-1/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,323,Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation  in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,3/4/11,
,3/1-3/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"4,400",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation  in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,5/16/11,
,4/1-4/30/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"1,650",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation  in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,5/25/11,
,,,,,,,,,,,,"42,817"
